n,nom,adresse,rue,tel,type,web
61,Roule Ma Poule KIDS,"9 Pl. du Général de Gaulle, 56700 Hennebont, France",Place de Gaulle,02 97 30 06 32,toy_store,http://www.rmp-kids.com/
62,SAMUEL LE GAL COURTAGE,"15 Pl. du Général de Gaulle, 56700 Hennebont, France",Place de Gaulle,02 97 36 62 02,insurance_agency,http://slgcourtage.com/
63,Ker-Optique,"1 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,02 97 36 56 02,store,
64,Les Lunettes d'Hennebont,"8 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,02 97 36 21 86,store,http://les-lunettes-dhennebont-hennebont2.monopticien.com/
65,Mag Presse du Puits Ferré,"12 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,02 97 36 24 16,store,http://www.magpresse.com/
66,Nuances by M,"8 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,02 97 37 44 14,gift_shop,https://www.facebook.com/profile.php?id=100079189114933
67,Thélem assurances Hennebont,"6 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,02 97 85 59 59,insurance_agency,https://www.thelem-assurances.fr/agences/hennebont/
68,Vision Plus,"8 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,02 97 83 42 17,store,http://www.vision-plus.fr/opticien/france/morbihan/opticien-hennebont/hennebont-ferre
69,ZA TORIKO,"3 Rue du Puits Ferré, 56700 Hennebont, France",Puits Ferré,09 80 86 44 92,meal_takeaway,https://www.zatoriko.fr/
70,L'Atelier So'Hair,"2 Quai du Pont Neuf, 56700 Hennebont, France",Pont Neuf,02 97 36 13 38,hair_salon,
71,Le Talao,"2 Quai du Pont Neuf, 56700 Hennebont, France",Pont Neuf,02 97 36 25 14,bar,
72,SUSHI N POKE,"4 Quai du Pont Neuf, 56700 Hennebont, France",Pont Neuf,02 97 50 00 53,restaurant,https://www.sushinpoke.fr/
73,Zk barber,"4 Quai du Pont Neuf, 56700 Hennebont, France",Pont Neuf,09 87 78 17 67,hair_salon,
74,La Fleur de Blé,"4 Rue Edouard Herriot, 56700 Hennebont, France",Herriot / Poste,02 97 85 57 70,dessert_shop,https://www.facebook.com/share/1ERCaPoM78/?mibextid=wwXIfr
75,Le Chat Botté,"7 Rue de la Poste, 56700 Hennebont, France",Herriot / Poste,02 97 85 03 09,restaurant,https://www.le-chat-botte-restaurant-hennebont.fr/
76,Pub O'Sullivans,"8 Rue Edouard Herriot, 56700 Hennebont, France",Herriot / Poste,02 97 36 53 78,bar,
77,Agence Sixieme Avenue Hennebont,"1 Rue de la Tour Saint-Nicolas, 56700 Hennebont, France",Tour Saint-Nicolas,02 97 32 29 45,real_estate_agency,https://hennebont.sixiemeavenue.com/
78,Métamorphose,"1 Rue de la Tour Saint-Nicolas, 56700 Hennebont, France",Tour Saint-Nicolas,02 97 36 24 01,hair_salon,
79,Agence immobilière Laforêt Hennebont,"7 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 85 18 18,real_estate_agency,https://www.laforet.com/agence-immobiliere/hennebont?utm_source=google&utm_medium=mybusiness
80,ASSUROCEAN,"19 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 36 40 28,insurance_agency,https://www.assurocean.com/
81,Auto Ecole ECM,"3 Av. de la Libération, 56700 Hennebont, France",Av. Libération,06 74 77 88 73,educational_institution,
82,Bigoud' Lav,"37 Av. de la Libération, 56700 Hennebont, France",Av. Libération,06 50 41 35 10,laundry,https://www.bigoudlav.fr/
83,Courtier indépendant en prêt immobilier - Nadège GUILLOU-CORLAY - LA MAILLE IMMOBILIER,"15 Av. de la Libération, 56700 Hennebont, France",Av. Libération,06 77 00 72 77,finance,http://www.la-maille-immobilier.fr/
84,Domino's Pizza Hennebont,"11 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 89 00 00,pizza_restaurant,https://www.dominos.fr/?utm_source=google&utm_medium=local&utm_campaign=yext
85,Eléphant Bleu,"56 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 85 09 47,car_wash,https://www.elephantbleu.com/ma-station-de-lavage/centre-elephant-bleu-hennebont/
86,Garage Dugor,"32 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 36 20 83,car_repair,
87,Le Sherlock,"9 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 22 21 75 77,bar,
88,MMA Assurances HENNEBONT,"13 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 36 21 52,insurance_agency,https://agence.mma.fr/560701/?utm_source=Uberall&utm_medium=referral
89,Mutualia,"54 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 62 30 00,insurance_agency,https://agence.mutualia.fr/23-mutualia-hennebont?utm_source=gmb
90,Nouvel Hair Hennebont,"37 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 36 12 95,hair_salon,http://nouvelhair-56.fr/
91,Park Immobilier Hennebont,"5bis Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 35 48 44,real_estate_agency,http://www.hennebont.parkimmobilier.fr/
92,POUDRE D'ANGES HENNEBONT,"10 rue de la Libération, 56700 Hennebont, France",Av. Libération,02 97 89 45 14,beauty_salon,http://www.poudredanges.fr/
93,SAGE Conduite,"4 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 85 02 46,educational_institution,http://sage-conduite.fr/
94,Samia Institut,"37 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 05 41 51,beauty_salon,http://www.samia-institut.com/
95,Seb & Marion (Artisans Boulanger),"56 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 12 37 44,bakery,
96,Square Habitat Hennebont,"27 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 21 93 21,real_estate_agency,https://www.squarehabitat.fr/square-habitat-bretagne/nos-agences-immobilieres/morbihan/hennebont-56700/agence/hennebont-square-habitat
97,Success Immobilier,"4 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 89 85 09,real_estate_agency,
98,Universe Frip's,"23 Av. de la Libération, 56700 Hennebont, France",Av. Libération,09 80 62 98 24,clothing_store,
99,Villa Florale,"56B Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 97 36 32 88,florist,
100,West Barbershop Hennebont,"1 Av. de la Libération, 56700 Hennebont, France",Av. Libération,02 22 21 71 13,hair_salon,
