categorie,nom,telephone,adresse,site,maps,note,nb_avis,distance_km,place_id,statut_appel
entreprise_autre,Espace événementiel K2,02 97 76 88 99,"Rue d'Estienne d'Orves, 56100 Lorient",https://lorient-evenements.bzh/lieux/espace-evenementiel-k2/,https://maps.google.com/?cid=18222450198085017146&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,44,0.31,ChIJK_eAjt9fEEgROp4akugl4_w,a_appeler
entreprise_autre,MODX Catamarans,02 97 06 00 27,"9 Rue d'Estienne d'Orves, 56100 Lorient",http://www.modx-catamarans.com/,https://maps.google.com/?cid=14757318535477178349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,0.38,ChIJzdNL7DVfEEgR7a9nOAWHzMw,a_appeler
entreprise_autre,Océan Développement,02 97 06 00 27,"9 Rue d'Estienne d'Orves, 56100 Lorient",https://modx-catamarans.com/,https://maps.google.com/?cid=17423024754956947562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.38,ChIJVwsU5dpfEEgRatALGLQEy_E,a_appeler
entreprise_autre,CDK Technologies Lorient,02 97 87 87 37,"Rue Ingénieur Henry Verrière, 56100 Lorient",https://www.cdk-technologies.com/actualite/cdk-technologies-lorient.html,https://maps.google.com/?cid=9587919432141033474&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,2,0.43,ChIJD7792cpfEEgRAtDUr-whD4U,a_appeler
entreprise_autre,Sensation Océan,06 45 60 94 84,"Base des Sous-Marin de Keroman, 9 Rue Lieutenant de Vaisseau Bourely, 56100 Lorient",https://www.sensationocean.com/,https://maps.google.com/?cid=7058874891718508122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,76,0.45,ChIJmZ3Mw8tfEEgRWj7OglAp9mE,a_appeler
entreprise_autre,Escal'Ouest,02 97 65 52 52,"7 Rue Amiral Dordelin Celtic Submarine 3 - Bât C - Rdc, 56100 Lorient",http://www.escal-ouest.com/,https://maps.google.com/?cid=7848701781563030117&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,163,0.51,ChIJMYpDJspfEEgRZToKpq8w7Gw,a_appeler
entreprise_autre,Avenir Rénovations Lorient (56),02 21 83 37 16,"Centre d'affaires Lorient Mer - la base, 1 Rue d'Estienne d'Orves, 56100 Lorient",https://www.avenir-renovations.fr/agence/avenir-renovations-56-lorient/,https://maps.google.com/?cid=7776257786703717190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,10,0.53,ChIJmTCI3IpfEEgRRiNXskHR6ms,a_appeler
entreprise_autre,BURO Club Partner Lorient La Base,01 40 21 95 95,"Centre d'affaires Lorient Mer, 1 Rue d'Estienne d'Orves, 56100 Lorient",https://www.buro.com/centre-affaires/lorient-67/,https://maps.google.com/?cid=7707088719478090571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.53,ChIJRSSrz_1fEEgRS2vpQFsU9Wo,a_appeler
entreprise_autre,SEM Lorient Keroman - Accueil de l'Aire de Réparation Navale,02 97 37 21 11,"2b Bd Jean Pierre Calloch, 56100 Lorient",http://www.keroman.fr/,https://maps.google.com/?cid=14467844508444168751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.53,ChIJ3U3JayVfEEgRL5JmL-0byMg,a_appeler
entreprise_autre,NASS&WIND,02 97 37 56 06,"Base de Keroman, 1 Rue d'Estienne d'Orves, 56100 Lorient",https://nassetwind.com/,https://maps.google.com/?cid=5504203103631704933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,8,0.55,ChIJfRvkm49fEEgRZQOSa4_bYkw,a_appeler
entreprise_autre,Centre d'Affaires Lorient Mer - La Base,02 30 91 59 15,"1 Rue d'Estienne d'Orves 1er étage, 56100 Lorient",http://www.centredaffaireslorientmer.fr/,https://maps.google.com/?cid=4032089398442547941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,61,0.56,ChIJUanSlslfEEgR5VrJ6PHb9Dc,a_appeler
entreprise_autre,"Le Nautilus - Centre d'affaires et réunion - Lorient, La Base",02 21 65 01 16,"14 Rue du Sous-Marin Venus, 56100 Lorient",https://le-nautilus.fr/,https://maps.google.com/?cid=13384671907883541477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,55,0.65,ChIJ1w4W669fEEgR5WOMaC_ov7k,a_appeler
entreprise_autre,SeaLoft - Maison Flottante,09 82 58 30 56,"38 Av. de la Perrière, 56100 Lorient",https://sealoft.fr/,https://maps.google.com/?cid=16682442066016205803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,0.65,ChIJVVWV_TVeEEgR6_vt8qvwg-c,a_appeler
entreprise_autre,BRETAGNE PÔLE NAVAL,02 97 32 77 69,"6 bis Rue François Toullec, 56100 Lorient",,https://maps.google.com/?cid=18060443993879788940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,5,0.72,ChIJx6qOw8lfEEgRjL0KxR-Wo_o,a_appeler
entreprise_autre,Espace des Sciences Maison de la Mer,02 97 84 87 37,"12 Av. de Kergroise, 56100 Lorient",https://www.maisondelamer.org/,https://maps.google.com/?cid=14540088868093068507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,28,0.94,ChIJx6qOw8lfEEgR24RM8cnFyMk,a_appeler
entreprise_autre,Base UCPA,,"56100 Lorient, France",,https://maps.google.com/?cid=15286376467925468532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.25,ChIJo91mw6tfEEgRdIWWKWgeJNQ,a_appeler
entreprise_autre,Pôle course au large,,"Cite la Voile, 56100 Lorient",,https://maps.google.com/?cid=929404805074824195&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,0.28,ChIJERQKScVfEEgRA6wG-77o5Qw,a_appeler
entreprise_autre,Absolute Composite,,"H D ESTIENNE D ORVES, 7 Rue Henri Estier, 56100 Lorient",https://www.avelrobotics.com/,https://maps.google.com/?cid=8405281285151515958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.52,ChIJZwlEwt9fEEgRNuWxtsuOpXQ,a_appeler
